check_id,category,check,table,field,records_checked,records_failing,pct_failing,example_record_ids,affects,rule
H04,Category and format hygiene,Category variants in Level,Job Openings,Level,24,0,0.0,,D2,"Leading/trailing/double spaces, case or punctuation variants of the same value, or a value within 0.9 similarity of a more common one with the same word count. Values seen: Senior (8), Junior (8), Mid (5), Lead (3)"
H05,Category and format hygiene,Category variants in Location,Job Openings,Location,24,0,0.0,,D2,"Leading/trailing/double spaces, case or punctuation variants of the same value, or a value within 0.9 similarity of a more common one with the same word count. Values seen: Mumbai (8), Bengaluru (7), Noida (5), Remote (4)"
H06,Category and format hygiene,Category variants in Status,Job Openings,Status,24,0,0.0,,D2,"Leading/trailing/double spaces, case or punctuation variants of the same value, or a value within 0.9 similarity of a more common one with the same word count. Values seen: Open (11), Filled (8), On Hold (3), Cancelled (2)"
H07,Category and format hygiene,Category variants in City,Candidates,City,300,0,0.0,,D2,"Leading/trailing/double spaces, case or punctuation variants of the same value, or a value within 0.9 similarity of a more common one with the same word count. Values seen: Pune (53), Remote (43), Mumbai (43), Hyderabad (42), Chennai (40), Bengaluru (40), Noida (39)"
H08,Category and format hygiene,Category variants in Current Company,Candidates,Current Company,300,0,0.0,,D2,"Leading/trailing/double spaces, case or punctuation variants of the same value, or a value within 0.9 similarity of a more common one with the same word count. Values seen: Basalt Energy (31), Marigold Foods (21), Meridian Health (21), Parable Systems (21), Silverpine Analytics (19), Arcadia Retail (18), Zenlytics (18), Bluestone Labs (18), Harbourline (18), Copperfield Bank (15), Kettle & Co (15), Quillion (15), Vantage Mobility (14), Larkspur Software (13), Redthread (13), Northwind Telecom (12), Tidewater Logistics (9), Foxglove Media (9)"
H09,Category and format hygiene,Category variants in Source,Candidates,Source,300,0,0.0,,D1 channel,"Leading/trailing/double spaces, case or punctuation variants of the same value, or a value within 0.9 similarity of a more common one with the same word count. Values seen: Job Board (191), Agency (35), LinkedIn (31), Career Site (31), Referral (8), Campus (4)"
H10,Category and format hygiene,Category variants in Rejection Reason,Applications,Rejection Reason,218,0,0.0,,D1/D3 acceptance,"Leading/trailing/double spaces, case or punctuation variants of the same value, or a value within 0.9 similarity of a more common one with the same word count. Values seen: Skills Mismatch (49), Culture Fit (47), Better Candidate (45), Comp Expectation (26), Position Cancelled (18), No Show (18), Withdrew (15)"
H11,Category and format hygiene,Category variants in Stage,Applications,Stage,350,0,0.0,,D1 channel; D1/D3 acceptance,"Leading/trailing/double spaces, case or punctuation variants of the same value, or a value within 0.9 similarity of a more common one with the same word count. Values seen: Rejected (200), Applied (45), Screening (32), Hired (26), Interview (23), Withdrawn (14), Offer (10)"
H12,Category and format hygiene,Category variants in Status,Applications,Status,350,0,0.0,,D1 channel; D1/D3 acceptance,"Leading/trailing/double spaces, case or punctuation variants of the same value, or a value within 0.9 similarity of a more common one with the same word count. Values seen: Closed (245), Active (105)"
H13,Category and format hygiene,Category variants in Outcome,Interviews,Outcome,160,0,0.0,,D2,"Leading/trailing/double spaces, case or punctuation variants of the same value, or a value within 0.9 similarity of a more common one with the same word count. Values seen: Completed (138), No Show (10), Cancelled (7), Rescheduled (5)"
H14,Category and format hygiene,Category variants in Recommendation,Interviews,Recommendation,142,0,0.0,,D2,"Leading/trailing/double spaces, case or punctuation variants of the same value, or a value within 0.9 similarity of a more common one with the same word count. Values seen: No Hire (48), Strong No Hire (39), Hire (34), Strong Hire (21)"
H15,Category and format hygiene,Category variants in Round,Interviews,Round,160,0,0.0,,D2,"Leading/trailing/double spaces, case or punctuation variants of the same value, or a value within 0.9 similarity of a more common one with the same word count. Values seen: Screen (74), Technical 1 (69), Bar Raiser (7), Hiring Manager (7), Technical 2 (3)"
H16,Category and format hygiene,Category variants in Status,Offers,Status,36,0,0.0,,D1/D3 acceptance,"Leading/trailing/double spaces, case or punctuation variants of the same value, or a value within 0.9 similarity of a more common one with the same word count. Values seen: Accepted (26), Pending (5), Declined (5)"
H17,Category and format hygiene,Email not in expected format,Candidates,Email,300,0,0.0,,D1 channel,"Value does not fully match `[a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,}` (catches stray whitespace, casing, malformed values)"
H18,Category and format hygiene,Work Email not in expected format,People,Work Email,14,0,0.0,,D2,"Value does not fully match `[a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,}` (catches stray whitespace, casing, malformed values)"
H19,Category and format hygiene,Phone not in expected format,Candidates,Phone,300,0,0.0,,D1 channel,"Value does not fully match `\+91 [6-9]\d{9}` (catches stray whitespace, casing, malformed values)"
H20,Category and format hygiene,Full Name not in expected format,Candidates,Full Name,300,0,0.0,,D1 channel,"Value does not fully match `\S+( \S+)+` (catches stray whitespace, casing, malformed values)"
H21,Category and format hygiene,Full Name not in expected format,People,Full Name,14,0,0.0,,D2,"Value does not fully match `\S+( \S+)+` (catches stray whitespace, casing, malformed values)"
H22,Category and format hygiene,People: unparseable date,People,Joined On,14,0,0.0,,D2,Date field value is not a valid YYYY-MM-DD date
H23,Category and format hygiene,Job Openings: unparseable date,Job Openings,"Opened On, Target Close",24,0,0.0,,D2,Date field value is not a valid YYYY-MM-DD date
H24,Category and format hygiene,Candidates: unparseable date,Candidates,Created On,300,0,0.0,,D2,Date field value is not a valid YYYY-MM-DD date
H25,Category and format hygiene,Applications: unparseable date,Applications,"Applied On, Screened On, First Interview On, Final Interview On, Offered On, Closed On",350,0,0.0,,D2,Date field value is not a valid YYYY-MM-DD date
H26,Category and format hygiene,Interviews: unparseable date,Interviews,"Scheduled On, Completed On",160,0,0.0,,D2,Date field value is not a valid YYYY-MM-DD date
H27,Category and format hygiene,Offers: unparseable date,Offers,"Offered On, Decision On, Proposed Start Date",36,0,0.0,,D1/D3 acceptance,Date field value is not a valid YYYY-MM-DD date
H28,Category and format hygiene,Departments: non-numeric or out-of-range number,Departments,Headcount Budget,8,0,0.0,,D2,"Must be numeric with Headcount Budget in [0, ∞]"
H29,Category and format hygiene,Job Openings: non-numeric or out-of-range number,Job Openings,"Salary Band Min, Salary Band Max, Headcount",24,0,0.0,,D2,"Must be numeric with Salary Band Min in [1, ∞]; Salary Band Max in [1, ∞]; Headcount in [1, ∞]"
H30,Category and format hygiene,Candidates: non-numeric or out-of-range number,Candidates,"Expected CTC, Current CTC, Notice Period Days, Years Experience",300,0,0.0,,D2,"Must be numeric with Expected CTC in [1, ∞]; Current CTC in [1, ∞]; Notice Period Days in [0, 365]; Years Experience in [0, 50]"
H31,Category and format hygiene,Interviews: non-numeric or out-of-range number,Interviews,Score,142,0,0.0,,D2,"Must be numeric with Score in [1, 5]"
H32,Category and format hygiene,Offers: non-numeric or out-of-range number,Offers,"Joining Bonus, Base CTC",36,0,0.0,,D1/D3 acceptance,"Must be numeric with Joining Bonus in [0, ∞]; Base CTC in [1, ∞]"
M01,Missing values (D1/D3 inputs),Source missing,Candidates,Source,300,0,0.0,,D1 channel,`Candidates.Source` empty or absent (Airtable omits empty fields)
M02,Missing values (D1/D3 inputs),Created On missing,Candidates,Created On,300,0,0.0,,D1 channel,`Candidates.Created On` empty or absent (Airtable omits empty fields)
M03,Missing values (D1/D3 inputs),Stage missing,Applications,Stage,350,0,0.0,,D1 channel; D1/D3 acceptance,`Applications.Stage` empty or absent (Airtable omits empty fields)
M04,Missing values (D1/D3 inputs),Status missing,Applications,Status,350,0,0.0,,D1 channel; D1/D3 acceptance,`Applications.Status` empty or absent (Airtable omits empty fields)
M05,Missing values (D1/D3 inputs),Applied On missing,Applications,Applied On,350,0,0.0,,D1 channel; D1/D3 acceptance,`Applications.Applied On` empty or absent (Airtable omits empty fields)
M06,Missing values (D1/D3 inputs),Status missing,Offers,Status,36,0,0.0,,D1/D3 acceptance,`Offers.Status` empty or absent (Airtable omits empty fields)
M07,Missing values (D1/D3 inputs),Offered On missing,Offers,Offered On,36,0,0.0,,D1/D3 acceptance,`Offers.Offered On` empty or absent (Airtable omits empty fields)
M08,Missing values (D1/D3 inputs),Base CTC missing,Offers,Base CTC,36,0,0.0,,D1/D3 acceptance,`Offers.Base CTC` empty or absent (Airtable omits empty fields)
M09,Missing values (D1/D3 inputs),Proposed Start Date missing,Offers,Proposed Start Date,36,0,0.0,,D1/D3 acceptance,`Offers.Proposed Start Date` empty or absent (Airtable omits empty fields)
M10,Missing values (D1/D3 inputs),Status missing,Job Openings,Status,24,0,0.0,,D1 channel; D2,`Job Openings.Status` empty or absent (Airtable omits empty fields)
M11,Missing values (D1/D3 inputs),Headcount missing,Job Openings,Headcount,24,0,0.0,,D1 channel; D2,`Job Openings.Headcount` empty or absent (Airtable omits empty fields)
O01,Other,Airtable createdTime differs from the business creation date,People,createdTime vs Joined On,14,14,100.0,rec256xpgQkRnXVwj rec25IaBcJAP9TN3h rec4scgKf7PDfcfqU recD9kc1IOY9DF6Pn recLvBq5rkbRssvuG,D2,"createdTime date ≠ Joined On. createdTime dates in this table: 2026-08-27 to 2026-08-27. If all records share one load date, createdTime cannot stand in for event time"
O02,Other,Airtable createdTime differs from the business creation date,Job Openings,createdTime vs Opened On,24,24,100.0,rec1hXVrOPLSyiC6Y rec38ScPLVzASwBYL rec5ZjMzbr1BDZscz rec810iCfuNrOnIYU recDWPyPdsjzjzYEx,D2,"createdTime date ≠ Opened On. createdTime dates in this table: 2026-08-27 to 2026-08-27. If all records share one load date, createdTime cannot stand in for event time"
O03,Other,Airtable createdTime differs from the business creation date,Candidates,createdTime vs Created On,300,300,100.0,rec025p5ExyDDgMqo rec0RmkT1oaf3v2IZ rec0fsVrfn2FFP0cX rec0hawReCGXfRRK8 rec0o9aI0EnMVBMro,D2,"createdTime date ≠ Created On. createdTime dates in this table: 2026-08-27 to 2026-08-27. If all records share one load date, createdTime cannot stand in for event time"
O04,Other,Airtable createdTime differs from the business creation date,Applications,createdTime vs Applied On,350,349,99.7,rec03mm1CQItRpbin rec0BoZNmntCLQMr2 rec0Niixi0wuN3K1M rec0PaJV3hGNinKGA rec0W4wqiME84NbOB,D2,"createdTime date ≠ Applied On. createdTime dates in this table: 2026-08-27 to 2026-08-27. If all records share one load date, createdTime cannot stand in for event time"
O05,Other,Airtable createdTime differs from the business creation date,Interviews,createdTime vs Scheduled On,160,160,100.0,rec056WQB9R3OBalD rec07mjPeN9h2vpHU rec0sok5dEvDk8RXw rec0vt56b6EWNplhN rec0yYjYwNgfxH1Bg,D2,"createdTime date ≠ Scheduled On. createdTime dates in this table: 2026-08-27 to 2026-08-27. If all records share one load date, createdTime cannot stand in for event time"
O06,Other,Airtable createdTime differs from the business creation date,Offers,createdTime vs Offered On,36,36,100.0,rec0bHaqPWKwbh666 rec2ZqFzKtzyRhiRw rec4IxCFtlh2fUaYZ rec5A8pPd3Az1BUkn rec5GeU3frNNkZrws,D2,"createdTime date ≠ Offered On. createdTime dates in this table: 2026-08-27 to 2026-08-27. If all records share one load date, createdTime cannot stand in for event time"
O07,Other,Req ID year differs from Opened On year,Job Openings,Req ID vs Opened On,24,0,0.0,,D2,The year embedded in Req ID (REQ-YYYY-nnn) is not the year of Opened On
O08,Other,Title seniority prefix disagrees with Level,Job Openings,Title vs Level,11,0,0.0,,D2,Title starts with Junior/Senior/Lead but Level is different
O09,Other,Salary band differs from the usual band for its Level,Job Openings,Level vs Salary Band,24,0,0.0,,D1/D3 acceptance,"Band (Min, Max) differs from the most common band among openings at the same Level"
O10,Other,Hiring manager belongs to a different department than the opening,Job Openings,Hiring Manager.Department vs Department,24,21,87.5,rec1hXVrOPLSyiC6Y rec38ScPLVzASwBYL rec5ZjMzbr1BDZscz rec810iCfuNrOnIYU recDWPyPdsjzjzYEx,D2,Hiring manager's People.Department ≠ opening's Department
O11,Other,Expected CTC below Current CTC,Candidates,Expected CTC vs Current CTC,300,4,1.3,recJYEsd93C0FgfMW recY2oL9jE7i5hCgV recx4ndA3SWBtMoEL recyRCSer7xBH1pe3,D1/D3 acceptance,"Expected CTC < Current CTC (plausibility, not necessarily wrong)"
O12,Other,CTC not a round figure,Candidates,"Expected CTC, Current CTC",300,4,1.3,recJYEsd93C0FgfMW recY2oL9jE7i5hCgV recx4ndA3SWBtMoEL recyRCSer7xBH1pe3,D1/D3 acceptance,"CTC not a multiple of 10,000 while almost all others are (possible entry or conversion error)"
O13,Other,CTC not a round figure,Offers,Base CTC,36,2,5.6,rec9zR8IYJSOcp70l rechC6yLXnUv4oXCD,D1/D3 acceptance,"CTC not a multiple of 10,000 while almost all others are (possible entry or conversion error)"
O14,Other,Offer Base CTC below the candidate's Current CTC,Offers,Base CTC vs Candidates.Current CTC,36,13,36.1,rec5A8pPd3Az1BUkn rec9zR8IYJSOcp70l recC08X4FeIURnTSC recNeOhJnVRDl1ePH recQmK7bhmt2EAguh,D1/D3 acceptance,Base CTC < candidate's Current CTC (plausibility)
O15,Other,Accepted offer starts sooner than the candidate's notice period allows,Offers,Proposed Start Date − Decision On vs Notice Period Days,26,20,76.9,rec2ZqFzKtzyRhiRw rec5A8pPd3Az1BUkn rec9zR8IYJSOcp70l recJ0AWDZSiO7mxXQ recP8nDvozvssXYIz,D1/D3 acceptance,Status=Accepted and Proposed Start Date − Decision On < Candidates.Notice Period Days
O16,Other,Application recruiter differs from the opening's recruiter,Applications,Recruiter vs Job Openings.Recruiter,350,4,1.1,reciNqlMlx5mYgt5N reckLPXA8xRgWsC1l recsWENinZHkh9BBS recsf6EmTqvMtB5m9,D2,Applications.Recruiter ≠ linked opening's Recruiter
O17,Other,Hired candidate still has another active application,Candidates,Applications.Stage/Status,24,1,4.2,recBDWWy4fF0Tp7ip,D1 channel,Candidate has a Stage=Hired application and another with Status=Active
O18,Other,Referrer also interviewed the candidate,Applications,Referred By vs Interviews.Interviewer,16,1,6.2,recgrME10OXKxRXqT,D2,A person in Referred By is the Interviewer on one of the application's interviews
O19,Other,Interview rounds out of sequence,Applications,Interviews.Round order,17,1,5.9,rec5EHcqYRoWmEZKL,D2,"Among applications with ≥2 interviews: a later round scheduled before an earlier one (Screen → Technical 1 → Technical 2 → Hiring Manager/Bar Raiser), or Technical 2 without Technical 1"
O20,Other,Notes: identical free text repeated across many records,Candidates,Notes,237,237,100.0,rec025p5ExyDDgMqo rec0RmkT1oaf3v2IZ rec0hawReCGXfRRK8 rec0o9aI0EnMVBMro rec0rfFyI6FUhGlWs,D1 channel,"Free-text value shared verbatim by ≥ 5 records (7 distinct texts across 237 filled records): text is templated, so it carries little record-specific information"
O21,Other,Feedback: identical free text repeated across many records,Interviews,Feedback,142,138,97.2,rec056WQB9R3OBalD rec07mjPeN9h2vpHU rec0sok5dEvDk8RXw rec0vt56b6EWNplhN rec0yYjYwNgfxH1Bg,D2,"Free-text value shared verbatim by ≥ 5 records (12 distinct texts across 142 filled records): text is templated, so it carries little record-specific information"
